compute_budget,training_tokens,validation_loss,x_page,y_page
6e18,1579500858.99,0.919843406813,74.493473,42.033154
6e18,1842753880.19,0.911815540739,82.632295,49.896070
6e18,2384069053.89,0.909076048884,96.230112,52.579273
6e18,2648968442.53,0.904596051536,101.792919,56.967219
6e18,2980093045.04,0.900939290376,108.011608,60.548844
6e18,3272863725.19,0.90057201694,112.959287,60.908571
6e18,3681976073.48,0.900461887081,119.177976,61.016438
6e18,4155263509.83,0.902877050907,125.562556,58.650899
6e18,4207978404.38,0.897033401339,126.228145,64.374478
6e18,4986325395.81,0.901038406943,135.188739,60.451764
6e18,6152495197.44,0.906027867324,146.284539,55.564823
6e18,6232920815.82,0.900670287116,146.970235,60.812320
6e18,7572317753.69,0.906140017699,157.247448,55.454977
6e18,9844039084.11,0.911434061411,171.099712,50.269711
6e18,12771124333.9,0.918406768945,184.843937,43.440273
6e18,17029403199.8,0.932185685945,200.036610,29.944474
1e19,1565884333.7,0.90080544013,74.036346,60.679944
1e19,1630126409,0.902168506307,76.159158,59.344885
1e19,1852418768.69,0.896439743337,82.908483,64.955938
1e19,2144909133.1,0.891861997533,90.648829,69.439624
1e19,2303447550.36,0.888974840575,94.413791,72.267458
1e19,2621118758.94,0.883042761021,101.234901,78.077650
1e19,2632515032.84,0.884268980381,101.463959,76.876626
1e19,3071272335.07,0.880316628666,109.602781,80.747768
1e19,3311218028.36,0.885725624318,113.574415,75.449912
1e19,3973468952.53,0.881052606951,123.200598,80.026912
1e19,4414970214.66,0.878752396085,128.763405,82.279860
1e19,4966847403.52,0.8773843118,134.982094,83.619834
1e19,5454801058.17,0.872734298093,139.929773,88.174303
1e19,6136658494.88,0.878106931605,146.148462,82.912062
1e19,6925474964.31,0.88227615441,152.533042,78.828505
1e19,10254211642,0.889187020271,173.255025,72.059638
1e19,16406816574.6,0.899371538483,198.070198,62.084383
3e19,1476196592.19,0.884265135377,70.922265,76.880392
3e19,1930416159.57,0.86515972185,85.086022,95.593243
3e19,2392142613.79,0.856588700461,96.408606,103.988154
3e19,2660794312.06,0.854389495993,102.028099,106.142171
3e19,2980093045.04,0.848481006141,108.011608,111.929258
3e19,3386473747.43,0.846133810878,114.760933,114.228225
3e19,3613609825.1,0.843914208286,118.188430,116.402221
3e19,4084955307.72,0.842339289126,124.661567,117.944780
3e19,4697705182.23,0.839780370544,132.040694,120.451120
3e19,4890433548.92,0.840030671525,134.163506,120.205962
3e19,5557318035.6,0.838540467013,140.912831,121.665547
3e19,5897565560.18,0.839137968999,144.050259,121.080322
3e19,6910419410.59,0.836128105773,152.418139,124.028341
3e19,7897632823.77,0.834843955087,159.468307,125.286106
3e19,11920539268.5,0.840514329333,181.204946,119.732242
3e19,14900707724.5,0.841696757916,192.986442,118.574109
6e19,2952413876.22,0.848431545871,107.518934,111.977702
6e19,3860859377.75,0.831245646973,121.682691,128.810479
6e19,4324867853.82,0.827699014652,127.674751,132.284238
6e19,5358443150.61,0.820314005479,138.988784,139.517506
6e19,5960227862,0.81932309914,144.608277,140.488052
6e19,6089147815.99,0.819304787895,145.738109,140.505987
6e19,6772994963.02,0.817185605659,151.357602,142.581626
6e19,7227270302.13,0.817698589025,154.785099,142.079183
6e19,8169967874.22,0.814805371541,161.258236,144.912953
6e19,9395476212.14,0.814124392333,168.637363,145.579940
6e19,9780935646.99,0.815502577156,170.760175,144.230073
6e19,11114713968.1,0.814976886695,177.509500,144.744962
6e19,12869687948,0.8131395455,185.249846,146.544551
6e19,13820935684.5,0.813111785102,189.014808,146.571741
6e19,15726997466.4,0.813675727533,195.835918,146.019386
6e19,18427967854.4,0.814621344298,204.203798,145.093199
1e20,3344665017.99,0.833321363103,114.105051,126.777413
1e20,3915711579.34,0.828265303291,122.427517,131.729585
1e20,4920715217.14,0.818213395858,134.489420,141.574954
1e20,8869422358.96,0.799648726095,165.595254,159.758172
1e20,10347675384,0.797614194185,173.734075,161.750900
1e20,11288383261.1,0.796962669178,178.328088,162.389038
1e20,12045512738.1,0.797840057032,181.755585,161.529678
1e20,13616683475.9,0.796371227719,188.228722,162.968327
1e20,15659207925.3,0.796967882293,195.607849,162.383932
1e20,16301643636,0.79745121543,197.730661,161.910530
1e20,18524618989.7,0.798912421098,204.479986,160.479348
1e20,19658791213.5,0.798589721529,207.617414,160.795417
1e20,21449590735,0.799568506814,212.220332,159.836743
1e20,23035011820.5,0.799180837296,215.985294,160.216447
1e20,26325763262.7,0.801069333584,223.035462,158.366754
1e20,33112950614.8,0.809223035226,235.145917,150.380588
1e20,49669629536.6,0.816945601243,256.553596,142.816699
1e20,69256362116.9,0.833038219294,274.104545,127.054739
3e20,10034106510.7,0.778117657171,172.109399,180.846838
3e20,10686187763.5,0.776735758029,175.433628,182.200343
3e20,14762309628.1,0.768618092835,192.493768,190.151213
3e20,18921579304.8,0.764071952433,205.599417,194.603943
3e20,23921983105.8,0.764508821872,217.980109,194.176050
3e20,29801624312.1,0.764357182101,229.583111,194.324574
3e20,30446234572.6,0.764245553446,230.712943,194.433909
3e20,33865525954.5,0.765505659073,236.332436,193.199695
3e20,36136939615.8,0.767316282289,239.759933,191.426275
3e20,40850504186.5,0.767795509052,246.233070,190.956895
3e20,46978145599.5,0.770857178755,253.612197,187.958134
3e20,48905474139.8,0.771621374836,255.735009,187.209640
3e20,55574474278.8,0.774955567112,262.484334,183.943956
3e20,58977028745.2,0.773937812108,265.621762,184.940799
6e20,13623491804.2,0.76791951911,188.255114,190.835433
6e20,23494695109.7,0.753681706087,217.028534,204.780699
6e20,33461511570.2,0.748081775254,235.698779,210.265567
6e20,43249685506.9,0.747835253934,249.246254,210.507023
6e20,47844301525.9,0.748611049349,254.576778,209.747168
6e20,50458045230.9,0.749013055444,257.385076,209.353422
6e20,53217498250.4,0.749170364707,260.196271,209.199345
6e20,53585679124.4,0.749270394028,260.560287,209.101371
6e20,60892895909.8,0.751791255646,267.309612,206.632306
6e20,67731526601.8,0.751878707536,272.929105,206.546651
6e20,72274385762.8,0.75360637525,276.356602,204.854482
6e20,81701579426.6,0.755530777301,282.829738,202.969621
1e21,16894247873.6,0.755473496338,199.615908,203.025725
1e21,22173761358.8,0.74695995194,213.973419,211.364340
1e21,33447428292.2,0.738834401731,235.676553,219.322933
1e21,39158027497.3,0.73758517871,243.999020,220.546488
1e21,49208297872.5,0.736445695535,256.060923,221.662558
1e21,64349486985.8,0.736337715856,270.224680,221.768319
1e21,72083181604.2,0.736993215531,276.216740,221.126288
1e21,84097174956.4,0.73897261768,284.355561,219.187557
1e21,103479163112,0.74174782029,295.305578,216.469377
1e21,112886458772,0.743426092056,299.899590,214.825589
1e21,156595725222,0.751629319309,317.179352,206.790915
1e21,185250503025,0.756270405582,326.051489,202.245190
3e21,68118567606.3,0.713023003066,273.229948,244.603980
3e21,100343399470,0.711289470854,293.680901,246.301893
3e21,106864365724,0.712540713369,297.005131,245.076360
3e21,117475387384,0.711809881836,302.003368,245.792175
3e21,127743085504,0.712296277908,306.427373,245.315773
3e21,147626533422,0.713380305629,314.065271,244.254019
1e22,99464287709.7,0.703730404291,293.216304,253.705642
1e22,116870729279,0.697643230996,301.730913,259.667741
1e22,147827908765,0.695534931367,314.137242,261.732721
1e22,221742772154,0.693574883903,335.544921,263.652495
1e22,391589392224,0.696344091329,365.570523,260.940187
1e22,1.0348157244e+12,0.71905374281,416.877081,238.697155
